timestamp_gatillo,event_type
2025-03-26 20:00:00, long
2025-04-07 08:00:00, long
2025-04-14 13:00:00, short
2025-05-07 03:00:00, short
2025-05-09 10:00:00, short
2025-05-11 02:00:00, short
2025-05-15 16:00:00, long
2025-05-23 04:00:00, short
2025-06-08 23:00:00, short
2025-06-12 22:00:00, long
2025-06-22 01:00:00, long
2025-07-07 00:00:00, short
2025-07-09 15:00:00, short
2025-07-11 17:00:00, short
2025-07-14 13:00:00, short
2025-07-17 12:00:00, short
2025-08-07 03:00:00, short
2025-08-10 02:00:00, short
2025-08-30 04:00:00, long
2025-09-17 20:00:00, long
2025-09-22 08:00:00, long
2025-10-03 18:00:00, short
2025-10-09 18:00:00, long
2025-10-26 14:00:00, short
2025-10-30 20:00:00, long
2025-11-04 09:00:00, long
2025-11-08 05:00:00, long


