timestamp_gatillo,event_type,ATR_14,RSI_14,Slope_50,Rejection_Power,BB_Position,Target_1x,Target_2x,Target_3x,Target_5x,Target_10x,Target_15x,Target_20x
2025-01-03 19:00:00,short,23.088447626679347,72.12074354764746,3.9474722039028567,0.09384299535598384,0.7877133650653612,1,1,1,1,1,1,1
2025-01-31 13:00:00,short,33.34099472855583,65.48543613183803,4.780946017022445,0.15544436783483162,0.8470024243808659,1,1,1,1,1,1,1
2025-03-02 19:00:00,short,45.92961442066802,77.83894938227066,4.413871016074195,0.2719705227174375,0.8397056244437691,1,1,1,1,1,1,1
2025-04-23 02:00:00,short,22.794863435400707,75.10529645507866,3.7230727049770285,0.4505908564335693,0.7895300245294985,1,1,0,0,0,0,0
2025-04-23 06:00:00,short,21.487413170762466,77.10191086160374,4.912862589364007,0.1308895938849414,0.798479165628018,1,1,1,0,0,0,0
2025-04-23 07:00:00,short,21.17953252298657,70.86494878240734,5.160823755053817,0.3110537019915681,0.7079840223392065,1,1,1,0,0,0,0
2025-04-23 08:00:00,short,21.666947074966096,74.75055896252647,5.425384599159992,0.0,0.8089256244538919,1,1,1,0,0,0,0
2025-05-08 21:00:00,short,34.61565925988837,90.83032478347782,7.6786510024058146,0.18120915113657826,0.8662015088847251,1,1,0,0,0,0,0
2025-05-08 22:00:00,short,33.5631346152535,91.15748345307419,8.174045981192855,0.3742386114308859,0.8475805520136227,1,1,0,0,0,0,0
2025-05-08 23:00:00,short,34.244247714792536,86.64370035943807,8.597836948607801,0.6794919365193643,0.7931852226435298,1,1,0,0,0,0,0
2025-05-09 00:00:00,short,33.08756844980734,87.27117761016721,8.986015648295304,0.01909319005868589,0.7883593657125605,1,1,0,0,0,0,0
2025-05-09 01:00:00,short,31.521149269142523,86.593939487856,9.336458861680017,0.42681071234873724,0.7605694495888446,1,1,1,0,0,0,0
2025-05-09 02:00:00,short,32.50063597486091,89.12715820523611,9.754279749907267,0.00031710607843391214,0.8336343673020629,1,1,1,0,0,0,0
2025-05-09 05:00:00,short,51.318164705113745,75.88658090585142,11.598548140264144,0.25525101897917835,0.8586792052330112,1,1,1,0,0,0,0
2025-05-09 06:00:00,short,49.63910251029131,76.25800857428302,12.062452196583886,0.24012650709627179,0.8446277263605354,1,1,1,0,0,0,0
